,wordle_id,tweet_text
51,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛⬛🟩⬛🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩

i'm literally so proud of myself rn i finished this in 1 min because i sta… https://t.co/YE6sh1uvFI"
52,261,"Wordle 261 3/6

⬛🟩⬛⬛🟨
⬛🟩🟨🟨⬛
🟩🟩🟩🟩🟩"
53,261,"Wordle 261 4/6

⬛🟨⬛🟨⬛
🟨🟨⬛⬛⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
54,261,"Wordle 261 2/6

🟨⬛🟨⬛🟨
🟩🟩🟩🟩🟩BROOOO"
55,261,"Wordle 261 2/6

🟩🟨⬜⬜⬜
🟩🟩🟩🟩🟩

giggling rn"
56,261,"Wordle 261 4/6

⬛🟨🟩⬛⬛
⬛⬛🟩⬛🟨
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩

I’m kinda on a role…"
57,261,"Wordle 261 4/6

⬛🟨🟩⬛⬛
🟨🟨⬛🟨⬛
🟨🟨🟩⬛⬛
🟩🟩🟩🟩🟩

love wins"
58,261,"Wordle 261 3/6

🟨🟩🟩⬛⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
59,261,"Wordle 261 4/6

🟨⬛⬛🟨⬛
🟨🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
60,261,"Wordle 261 5/6

⬜⬜🟨⬜⬜
🟨🟨⬜⬜⬜
🟨🟩🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
61,261,"Wordle 261 5/6

⬛🟩🟨⬛⬛
🟨🟩⬛⬛⬛
🟨🟩⬛⬛🟨
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
62,261,"Wordle 261 5/6

⬛🟨⬛🟨⬛
⬛⬛🟨🟨⬛
🟨🟨🟨⬛🟨
⬛⬛🟨⬛🟩
🟩🟩🟩🟩🟩"
63,261,"Wordle 261 5/6

⬛⬛🟨🟨⬛
🟨🟨⬛🟨⬛
🟨🟨🟩⬛⬛
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
64,261,"Wordle 261 5/6

⬛⬛🟨⬛🟩
⬛⬛⬛🟨🟨
🟨🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
